movie,year,rating,director,starCast,crew,language
Peranbu,2018,8.1,Ram (dir.)," Mammootty, Sadhana"," Mammootty , Sadhana , Anjali , Anjali Ameer , Samuthirakani , Pavel Navageethan , Livingston , Vadivukkarasi , Aruldoss , Abbas , Gr Adithya , Anand , Anees , Lizzie Antony , Lizzie Antony ",Tamil
Shahid,2012,8.1,Hansal Mehta (dir.)," Rajkummar Rao, Mohammed Zeeshan Ayyub"," Rajkummar Rao , Mohammed Zeeshan Ayyub , Baljinder Kaur , Tigmanshu Dhulia , Kay Kay Menon , Vipin Sharma , Shalini Vatsa , Vinod Rawat , Suvinder Pal , Pawan Kumar , Vivek Ghamande , Paritosh Sand , Prabal Panjabi , Yusuf Husain , Mukesh Chhabra ",Hindi
Talvar,2015,8.1,Meghna Gulzar (dir.)," Irrfan Khan, Konkona Sen Sharma"," Irrfan Khan , Konkona Sen Sharma , Neeraj Kabi , Sohum Shah , Atul Kumar , Gajraj Rao , Prakash Belawadi , Shishir Sharma , Sakshi Bhatia , Purnendu Bhattacharya , Vijay Kumar Dogra , Sumit Gulati , Kiran Khoje , Somen Mishra , Alisha Parveen ",Hindi
Drishyam,2015,8.1,Nishikant Kamat (dir.)," Ajay Devgn, Shriya Saran"," Ajay Devgn , Shriya Saran , Tabu , Rajat Kapoor , Ishita Dutta , Mrunal Jadhav , Prasanna Ketkar , Yogesh Sonam , Prathamesh Parab , Rishab Chadha , Ashish Warang , Anil Nagarkar , Tarun Shukla , Smita Inamdar , Sanjay Bhatia ",Hindi
Mughal-E-Azam,1960,8.1,K. Asif (dir.)," Prithviraj Kapoor, Madhubala"," Prithviraj Kapoor , Madhubala , Dilip Kumar , Durga Khote , Nigar Sultana , Ajit , M. Kumar , Murad , Jilloo Maa , Vijayalaxmi , S. Nazir , Sheela Delaya , Surendra , Johnny Walker , Jalal Agha ",Urdu
Aparajito,1956,8.1,Satyajit Ray (dir.)," Pinaki Sengupta, Smaran Ghosal"," Kamala Adhikari , Lalchand Banerjee , Kali Bannerjee , Kanu Bannerjee , Karuna Bannerjee , Panchanan Bhattacharya , Debabrata Chakraborty , Harendrakumar Chakravarti , Hemanta Chatterjee , Meenakshi Devi , Subodh Ganguli , Smaran Ghosal , Charuprakash Ghosh , Santi Gupta , Ajay Mitra ",Bengali
Black,2005,8.1,Sanjay Leela Bhansali (dir.)," Amitabh Bachchan, Rani Mukerji"," Amitabh Bachchan , Rani Mukerji , Shernaz Patel , Ayesha Kapoor , Dhritiman Chatterjee , Sillo Mahava , Chippy Gangjee , Mahabanoo Mody-Kotwal , Salome , Kenny Desai , Arif Shah , Bomie E. Dotiwala , Jeroo Shroff , Bomi Kapadia , Kamal Adib ",Hindi
Hera Pheri,2000,8.1,Priyadarshan (dir.)," Akshay Kumar, Paresh Rawal"," Akshay Kumar , Paresh Rawal , Sunil Shetty , Tabu , Om Puri , Gulshan Grover , Kulbhushan Kharbanda , Mukesh Khanna , Asrani , Sulabha Arya , Dinesh Hingoo , Mushtaq Khan , Razak Khan , Kashmira Shah , Namrata Shirodkar ",Hindi
Jigarthanda,2014,8.1,Karthik Subbaraj (dir.)," Siddharth, Bobby Simha"," Siddharth , Bobby Simha , Lakshmi Menon , Nassar , Aadukalam Naren , Guru Somasundaram , Karunakaran , Sangili Murugan , Delhi Ganesh , Ambika , Sudha , Bagavathi Perumal , Rajkumar , Vinodhini Vaidynathan , Ramachandran ",Tamil
Mahanati,2018,8.1,Nag Ashwin (dir.)," Keerthi Suresh, Dulquer Salmaan"," Keerthi Suresh , Dulquer Salmaan , Samantha Ruth Prabhu , Vijay Deverakonda , Rajendra Prasad , Bhanupriya , Divyavani , Mohan Babu , Prakash Raj , Srinivas Avasarala , Irfan , Naga Chaitanya Akkineni , Manobala , Malavika Nair , Shalini Pandey ",Telugu
Satya,1998,8.1,Ram Gopal Varma (dir.)," J.D. Chakravarthi, Urmila Matondkar"," J.D. Chakravarthi , Urmila Matondkar , Paresh Rawal , Manoj Bajpayee , Saurabh Shukla , Govind Namdeo , Makrand Deshpande , Shefali Shah , Raju Mavani , Aditya Srivastava , Neeraj Vora , Rajesh Joshi , Saabir , Snehal Dabi , Jeeva ",Hindi
Paan Singh Tomar,2012,8.1,Tigmanshu Dhulia (dir.)," Irrfan Khan, Ravi Bhushan Bhartiya"," Irrfan Khan , Ravi Bhushan Bhartiya , Hemendra Dandotiya , Mahie Gill , Rajendra Gupta , Rajiv Gupta , Jhakkad Guru , Ashraf Ul Haq , Imran Hasnee , Zakir Hussain , Brijendra Kala , Jahangir Khan , Swapnil kiiran Kotriwar , Vipin Sharma , Nawazuddin Siddiqui ",Hindi
Rang De Basanti,2006,8.1,Rakeysh Omprakash Mehra (dir.)," Aamir Khan, Soha Ali Khan"," Aamir Khan , Siddharth , Sharman Joshi , Kunal Kapoor , Atul Kulkarni , Alice Patten , Soha Ali Khan , Steven Mackintosh , Madhavan , Waheeda Rehman , Anupam Kher , Kiron Kher , Om Puri , Lekh Tandon , Cyrus Sahukar ",Hindi
Soodhu Kavvum,2013,8.1,Nalan Kumarasamy (dir.)," Vijay Sethupathi, Sanchita Shetty"," Vijay Sethupathi , Sanchita Shetty , Radha Ravi , M.S. Bhaskar , Bobby Simha , Ashok Selvan , Ramesh Thilak , Karunakaran , Yog Japee , Aruldoss , Boys Rajan , Radha , Kannayiram , Mippu , Gaana Bala ",Tamil
Bhaag Milkha Bhaag,2013,8.1,Rakeysh Omprakash Mehra (dir.)," Farhan Akhtar, Sonam Kapoor"," Farhan Akhtar , Sonam Kapoor , Pavan Malhotra , Art Malik , Divya Dutta , Japtej Singh , Yograj Singh , Jass Bhatia , Rebecca Breeds , Divjot Singh Chandhok , Chinmay Chandraunshuh , Chandan Gill , Dev Gill , Shveta Grover , Sumit Gulati ",Hindi
Jo Jeeta Wohi Sikandar,1992,8.1,Mansoor Khan (dir.)," Aamir Khan, Ayesha Jhulka"," Aamir Khan , Ayesha Jhulka , Deepak Tijori , Pooja Bedi , Kulbhushan Kharbanda , Mamik Singh , Kiran Zaveri , Ahmed Khan , Ravindra Kapoor , Deb Mukherjee , Aditya Lakhia , Deven Bhojani , Miki Khan , Prakash , Suraj Thapar ",Hindi
"Swades: We, the People",2004,8.1,Ashutosh Gowariker (dir.)," Shah Rukh Khan, Gayatri Joshi"," Shah Rukh Khan , Gayatri Joshi , Kishori Ballal , Smit Sheth , Lekh Tandon , Rajesh Vivek , Daya Shankar Pandey , Farrukh Jaffar , Vishnudutt Gaur , Raja Awasthi , Vishwa Mohan Badola , Bhim Vakani , Rahul Vohra , Rajesh Balwani , Bachan Pachehra ",Hindi
OMG: Oh My God!,2012,8.1,Umesh Shukla (dir.)," Paresh Rawal, Akshay Kumar"," Paresh Rawal , Akshay Kumar , Mithun Chakraborty , Om Puri , Mahesh Manjrekar , Govind Namdeo , Murli Sharma , Nikhil Ratnaparkhi , Lubna Salim , Poonam Jhawer , Yusuf Hussain , Jaineeraj Rajpurohit , Nidhi Subbaiah , Apoorva Arora , Azaan Shah ",Hindi
Queen,2013,8.1,Vikas Bahl (dir.)," Kangana Ranaut, Rajkummar Rao"," Kangana Ranaut , Rajkummar Rao , Lisa Haydon , Jeffrey Ho , Marco Canadea , Guithob Joseph , Yogendra Tiku , Alka Badola Kaushal , Tripta Lakhanpal , Chinmay Chandraunshuh , Nayani Dixit , Sabeeka Imam , Ayaan Malik , Ramesh Kalra , Poonam Mathur ",Hindi
Sholay,1975,8.1,Ramesh Sippy (dir.)," Sanjeev Kumar, Dharmendra"," Sanjeev Kumar , Dharmendra , Amitabh Bachchan , Amjad Khan , Hema Malini , Jaya Bhaduri , A.K. Hangal , Satyendra Kapoor , Iftekhar , Leela Mishra , Vikas Anand , Mac Mohan , Keshto Mukherjee , Sachin , Alankar Joshi ",Hindi
Gangs of Wasseypur,2012,8.1,Anurag Kashyap (dir.)," Manoj Bajpayee, Richa Chadha"," Manoj Bajpayee , Richa Chadha , Nawazuddin Siddiqui , Tigmanshu Dhulia , Jameel Khan , Piyush Mishra , Jaideep Ahlawat , Huma Qureshi , Zeishan Quadri , Vipin Sharma , Satyakam Anand , Aditya Kumar , Rajkummar Rao , Vineet Kumar Singh , Sankalp Acharekar ",Hindi
Sairat,2016,8.1,Nagraj Manjule (dir.)," Rinku Rajguru, Akash Thosar"," Rinku Rajguru , Akash Thosar , Arbaz Shaikh , Tanaji Galgunde , Suresh Vishwakarma , Suraj Pawar , Anuja Mule , Bhushan Manjule , Chhaya Kadam , Rubina Inamdar , Nagraj Manjule , Shivam More , Mithunchandra Chaudhari , Geeta Chavan , Dhananjay Nanaware ",Marathi
Premam,2015,8.1,Alphonse Puthren (dir.)," Nivin Pauly, Sai Pallavi"," Nivin Pauly , Sai Pallavi , Madonna Sebastian , Anupama Parameshwaran , S.V. Krishna Shankar , Shabareesh Varma , Vinay Forrt , Soubin Shahir , Siju Wilson , Ananth Nag , Alwin Antony , Faisal C.M. , Franko Davis , Rinsa Jacob , Jayashankar ",Malayalam
Chak De! India,2007,8.1,Shimit Amin (dir.)," Shah Rukh Khan, Vidya Malvade"," Shah Rukh Khan , Vidya Malvade , Sagarika Ghatge , Shilpa Shukla , Arya Menon , Seema Azmi , Nisha Nair , Sandia Furtado , Masochon V. Zimik , Kimi Laldawla , Chitrashi Rawat , Shubhi Mehta , Anaitha Nair , Tanya Abrol , Kimberly Miranda ",Hindi
Bangalore Days,2014,8.1,Anjali Menon (dir.)," Nazriya Nazim, Nivin Pauly"," Nazriya Nazim , Nivin Pauly , Dulquer Salmaan , Fahadh Faasil , Parvathy , Isha Talwar , Nithya Menon , Kalpana , Maniyanpilla Raju , Praveena , Vijayaraghavan , Sijoy Varghese , Sajid Yahiya , Prathap Pothen , Vinaya Prasad ",Malayalam
A Wednesday,2008,8.1,Neeraj Pandey (dir.)," Anupam Kher, Naseeruddin Shah"," Anupam Kher , Naseeruddin Shah , Jimmy Sheirgill , Deepal Shaw , Aamir Bashir , Kali Prasad Mukherjee , Mukesh Bhatt , Gaurav Kapoor , Chetan Pandit , Virendra Saxena , Snehal Dabi , Rohitashv Gour , Vije Bhatia , Aayam Mehta , Rajendra Chawla ",Hindi
Munna Bhai MBBS,2003,8.1,Rajkumar Hirani (dir.)," Sanjay Dutt, Arshad Warsi"," Sanjay Dutt , Arshad Warsi , Gracy Singh , Sunil Dutt , Boman Irani , Rohini Hattangadi , Kurush Deboo , Jimmy Sheirgill , Yatin Karyekar , Suresh Chatwal , Neha Dubey , Mumait Khan , Priya Bapat , Anuradha Chandan , Chirkut ",Hindi
Tumbbad,2018,8.1,Rahi Anil Barve (dir.)," Sohum Shah, Jyoti Malshe"," Sohum Shah , Jyoti Malshe , Anita Date , Ronjini Chakraborty , Deepak Damle , Cameron Anderson , Dhundiraj Prabhakar Jogalekar , Madhav Hari Joshi , Piyush Kaushik , Harish Khanna , Anika Radhakrishnan , Arohi Radhakrishnan , Mohammad Samad , Rudra Soni ",Marathi
